epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.221,1.79641,2.17075,1.33599,0.50047,0.49404,0.52823,0.24612,1.82824,2.1362,1.56199,0.000551359,0.000551359,0.000551359
2,100.89,1.78666,1.65178,1.33979,0.5864,0.47004,0.48397,0.19514,1.968,1.77788,1.72593,0.00109607,0.00109607,0.00109607
3,146.999,1.81578,1.54128,1.34997,0.58843,0.44728,0.46096,0.18422,2.00006,1.62477,1.64852,0.00162977,0.00162977,0.00162977
4,193.786,1.7838,1.44258,1.33825,0.54607,0.41496,0.44002,0.20847,1.86873,1.65026,1.67141,0.00161749,0.00161749,0.00161749
5,239.042,1.76118,1.37535,1.31908,0.83064,0.58045,0.66443,0.34287,1.74557,1.29878,1.47429,0.00160099,0.00160099,0.00160099
6,285.869,1.73155,1.32594,1.30277,0.78866,0.60417,0.66157,0.36725,1.67913,1.16573,1.39102,0.00158448,0.00158448,0.00158448
7,331.874,1.72176,1.27091,1.28843,0.82755,0.59112,0.67844,0.36571,1.68847,1.15648,1.39887,0.00156798,0.00156798,0.00156798
8,378.516,1.67148,1.22874,1.26153,0.72796,0.55756,0.6145,0.32103,1.69946,1.27151,1.40624,0.00155148,0.00155148,0.00155148
9,422.027,1.65546,1.17186,1.25925,0.83246,0.60921,0.67925,0.38166,1.65825,1.14692,1.36287,0.00153497,0.00153497,0.00153497
10,467.15,1.62755,1.13959,1.24154,0.81427,0.57536,0.67346,0.37242,1.67706,1.11611,1.34613,0.00151847,0.00151847,0.00151847
11,513.46,1.63607,1.14817,1.23093,0.86366,0.62506,0.69935,0.38398,1.62701,1.10463,1.40995,0.00150197,0.00150197,0.00150197
12,561.678,1.62335,1.10973,1.2289,0.77931,0.5953,0.66472,0.34171,1.70742,1.21084,1.46065,0.00148546,0.00148546,0.00148546
13,605.509,1.58818,1.09451,1.22508,0.889,0.64045,0.72201,0.42642,1.54923,1.01878,1.29766,0.00146896,0.00146896,0.00146896
14,652.071,1.58871,1.09353,1.22214,0.87606,0.63416,0.7085,0.38483,1.70045,1.14835,1.37188,0.00145246,0.00145246,0.00145246
15,698.317,1.57388,1.07134,1.20961,0.85248,0.63242,0.71229,0.39575,1.6468,1.03057,1.34482,0.00143595,0.00143595,0.00143595
16,742.228,1.56514,1.04271,1.19968,0.8726,0.65719,0.72633,0.42584,1.56927,0.98162,1.30774,0.00141945,0.00141945,0.00141945
17,787.593,1.54205,1.03474,1.19183,0.88273,0.65141,0.73077,0.42838,1.54142,0.98449,1.31157,0.00140295,0.00140295,0.00140295
18,835.964,1.53731,1.04726,1.19114,0.86762,0.67163,0.7434,0.4513,1.48717,0.93028,1.25696,0.00138644,0.00138644,0.00138644
19,881.308,1.53842,1.0105,1.18617,0.86737,0.66385,0.73767,0.4375,1.50453,0.98097,1.28563,0.00136994,0.00136994,0.00136994
20,926.092,1.52711,1.01615,1.19489,0.89609,0.66045,0.74377,0.4417,1.53433,0.93062,1.28694,0.00135344,0.00135344,0.00135344
21,972.589,1.50966,1.00013,1.17899,0.88636,0.66082,0.7464,0.45572,1.4777,0.96127,1.24622,0.00133693,0.00133693,0.00133693
22,1018.23,1.50326,1.01064,1.1833,0.8722,0.68024,0.74029,0.45057,1.48857,0.96654,1.24973,0.00132043,0.00132043,0.00132043
23,1062.49,1.502,0.98789,1.17917,0.89768,0.66203,0.74099,0.43856,1.5202,0.93081,1.28747,0.00130393,0.00130393,0.00130393
24,1108.76,1.476,0.95145,1.1642,0.892,0.67102,0.75497,0.44526,1.53907,0.89518,1.27015,0.00128742,0.00128742,0.00128742
25,1154.46,1.48329,0.9692,1.1594,0.86849,0.64974,0.72284,0.43045,1.59062,0.968,1.27772,0.00127092,0.00127092,0.00127092
26,1200.4,1.46154,0.95061,1.16275,0.9133,0.68245,0.76188,0.47532,1.4374,0.8932,1.22945,0.00125442,0.00125442,0.00125442
27,1245.01,1.44541,0.95184,1.15256,0.87561,0.65953,0.74049,0.44752,1.53052,0.92187,1.25737,0.00123791,0.00123791,0.00123791
28,1291.69,1.45908,0.93063,1.14198,0.9181,0.69652,0.77236,0.48275,1.45008,0.87111,1.22691,0.00122141,0.00122141,0.00122141
29,1338.27,1.44801,0.92346,1.14809,0.89316,0.6896,0.76468,0.46964,1.47176,0.88327,1.24008,0.00120491,0.00120491,0.00120491
30,1383.99,1.44502,0.93101,1.1537,0.88905,0.6846,0.76087,0.46538,1.4547,0.86816,1.23304,0.0011884,0.0011884,0.0011884
31,1430.4,1.42469,0.89392,1.13608,0.90489,0.69678,0.77026,0.4731,1.42818,0.84006,1.21756,0.0011719,0.0011719,0.0011719
32,1477.37,1.43594,0.89668,1.14481,0.87814,0.67866,0.76797,0.48944,1.39866,0.83841,1.19714,0.0011554,0.0011554,0.0011554
33,1521.19,1.40249,0.90281,1.13919,0.89861,0.69786,0.76032,0.47366,1.42629,0.86621,1.2282,0.00113889,0.00113889,0.00113889
34,1566.2,1.41727,0.88834,1.12464,0.90113,0.68069,0.76987,0.48925,1.41245,0.84043,1.19999,0.00112239,0.00112239,0.00112239
35,1613.53,1.42485,0.88372,1.13349,0.89362,0.69793,0.77405,0.48864,1.39759,0.82788,1.20501,0.00110589,0.00110589,0.00110589
36,1662.92,1.39835,0.89259,1.12885,0.88647,0.6796,0.76462,0.4897,1.40064,0.81409,1.19403,0.00108938,0.00108938,0.00108938
37,1707.76,1.40701,0.87682,1.12447,0.92076,0.69999,0.77017,0.49184,1.4102,0.82775,1.18977,0.00107288,0.00107288,0.00107288
38,1752.88,1.39535,0.86277,1.12622,0.89146,0.69757,0.77221,0.4897,1.41312,0.82218,1.18906,0.00105638,0.00105638,0.00105638
39,1799.17,1.38735,0.87283,1.12783,0.90195,0.70317,0.76846,0.49086,1.40093,0.81987,1.18801,0.00103987,0.00103987,0.00103987
40,1845.14,1.38913,0.86014,1.11882,0.91519,0.69676,0.77567,0.49674,1.39152,0.80753,1.19444,0.00102337,0.00102337,0.00102337
41,1889.79,1.38849,0.87253,1.1167,0.92091,0.70169,0.77966,0.49626,1.39306,0.79142,1.18654,0.00100687,0.00100687,0.00100687
42,1938.95,1.35456,0.85243,1.10098,0.91368,0.70065,0.77396,0.49752,1.3763,0.81607,1.19788,0.000990365,0.000990365,0.000990365
43,1984.07,1.37018,0.83478,1.11083,0.89419,0.70479,0.76854,0.483,1.41472,0.82333,1.19683,0.000973861,0.000973861,0.000973861
44,2029.09,1.36139,0.82536,1.10979,0.90008,0.7129,0.78014,0.50141,1.37786,0.79342,1.18675,0.000957358,0.000957358,0.000957358
45,2075.53,1.36008,0.86502,1.10757,0.91154,0.71295,0.77494,0.49784,1.38818,0.79377,1.18876,0.000940855,0.000940855,0.000940855
46,2121.59,1.34252,0.86041,1.11425,0.8924,0.71246,0.77688,0.49591,1.39113,0.8007,1.18572,0.000924352,0.000924352,0.000924352
47,2169.82,1.34214,0.83374,1.10189,0.90989,0.7073,0.7814,0.49012,1.38587,0.80093,1.18935,0.000907848,0.000907848,0.000907848
48,2213.7,1.34685,0.84087,1.09601,0.89782,0.70535,0.77687,0.49659,1.39574,0.80949,1.17478,0.000891345,0.000891345,0.000891345
49,2259.9,1.32716,0.82094,1.0928,0.89053,0.7196,0.78595,0.50283,1.35756,0.7731,1.17018,0.000874842,0.000874842,0.000874842
50,2304.58,1.33557,0.80735,1.08931,0.90559,0.71217,0.77526,0.4998,1.37578,0.78373,1.18738,0.000858338,0.000858338,0.000858338
51,2349,1.32297,0.81911,1.09816,0.92023,0.72068,0.78618,0.50704,1.34066,0.78741,1.16775,0.000841835,0.000841835,0.000841835
52,2395.22,1.31721,0.79984,1.09987,0.91102,0.71935,0.79863,0.51712,1.33783,0.76429,1.16759,0.000825332,0.000825332,0.000825332
53,2442.35,1.31033,0.80194,1.08205,0.92141,0.71429,0.79027,0.51902,1.34229,0.76072,1.1559,0.000808828,0.000808828,0.000808828
54,2486.74,1.31117,0.80529,1.08813,0.89854,0.7152,0.78854,0.50692,1.34048,0.77529,1.16331,0.000792325,0.000792325,0.000792325
55,2533.3,1.31539,0.8074,1.08729,0.92449,0.72775,0.79861,0.52322,1.31049,0.74489,1.14102,0.000775822,0.000775822,0.000775822
56,2579.76,1.2947,0.79034,1.08433,0.93057,0.71914,0.79698,0.52522,1.31314,0.74194,1.14608,0.000759318,0.000759318,0.000759318
57,2623.58,1.29286,0.78898,1.08045,0.91605,0.71232,0.78941,0.51144,1.34587,0.76178,1.15884,0.000742815,0.000742815,0.000742815
58,2670,1.28817,0.77668,1.08093,0.91854,0.72753,0.79774,0.52042,1.32242,0.75112,1.1537,0.000726312,0.000726312,0.000726312
59,2718.83,1.28251,0.78255,1.08246,0.92326,0.71937,0.80027,0.51665,1.35453,0.75466,1.16957,0.000709809,0.000709809,0.000709809
60,2763.73,1.27711,0.76844,1.06954,0.91357,0.72699,0.80118,0.52625,1.29937,0.73659,1.14723,0.000693305,0.000693305,0.000693305
61,2808.57,1.26661,0.76219,1.0734,0.93691,0.71474,0.79247,0.51639,1.3097,0.75275,1.14999,0.000676802,0.000676802,0.000676802
62,2855.28,1.26259,0.76818,1.06848,0.90966,0.72739,0.80516,0.52266,1.33784,0.73623,1.1618,0.000660299,0.000660299,0.000660299
63,2909.01,1.27463,0.76177,1.0665,0.93025,0.71284,0.78692,0.5185,1.32101,0.74652,1.14963,0.000643795,0.000643795,0.000643795
64,2961,1.28974,0.78897,1.07817,0.92321,0.71459,0.79465,0.52003,1.30235,0.73947,1.14298,0.000627292,0.000627292,0.000627292
65,3011.96,1.25992,0.75909,1.06106,0.91768,0.71918,0.79583,0.52336,1.33446,0.7463,1.1529,0.000610789,0.000610789,0.000610789
66,3058.16,1.25528,0.75518,1.0682,0.91379,0.71771,0.7978,0.52314,1.31244,0.73241,1.14752,0.000594286,0.000594286,0.000594286
67,3108.76,1.24464,0.75232,1.06381,0.93271,0.72727,0.80668,0.53698,1.27339,0.71355,1.12848,0.000577782,0.000577782,0.000577782
